c1_m1;c1_m2;c1_m3;c2_m1;c2_m2;c2_m3;aspiracjaK;aspiracjaR;sredniKoszt;ryzyko;Rozwi¹zanie
0;243;857;380;556;264;98937;1391.23;98911.3;551.581;1.900873426166733e-007
0;224;876;346;584;270;99437;1391.23;99367.8;501.909;5.093503067726947e-007
0;748;352;468;47;685;85937;1491.23;88878.6;1958.69;-0.2155734927698105
0;734;366;460;59;681;86437;1491.23;89120.3;1917.9;-0.1967616522430062
0;723;377;449;73;678;86937;1491.23;89366.2;1877.39;-0.1780812626247236
0;705;395;445;83;672;87437;1491.23;89611.3;1836.55;-0.1593400826032247
0;685;415;441;92;667;87937;1491.23;89855.4;1796.01;-0.1405842562465926
0;665;435;438;101;661;88437;1491.23;90100.8;1755.58;-0.1219287588100892
0;645;455;435;110;655;88937;1491.23;90346.2;1715.15;-0.103273261373585
0;625;475;431;119;650;89437;1491.23;90590.3;1674.64;-0.08458330599310401
0;625;475;411;139;650;89937;1491.23;90836.4;1634.16;-0.06591447336104221
0;605;495;408;148;644;90437;1491.23;91081.8;1593.72;-0.04726630642214166
0;583;517;406;156;638;90937;1491.23;91327.6;1553.47;-0.02870377274818692
0;570;530;397;169;634;91437;1491.23;91575.2;1513.14;-0.01012905783474417
0;485;615;438;152;610;91937;1491.23;91936.5;1487.43;1.754504830761197e-007
0;448;652;482;167;551;92437;1491.23;92435.8;1491;8.665678811650683e-009
2;406;692;497;176;527;92937;1491.23;92856.3;1491.16;5.912128676802703e-007
0;380;720;505;195;500;93437;1491.23;93280.2;1466.33;1.148138836458285e-006
0;367;733;496;220;484;93937;1491.23;93691.9;1396.52;1.796243891177786e-006
0;347;753;481;260;459;94437;1491.23;94344.8;1284.47;6.763702161601909e-007
0;342;758;478;276;446;94937;1491.23;94591;1246.64;2.535736501522277e-006
0;321;779;462;319;419;95437;1491.23;95289.9;1127.23;1.078988854561096e-006
0;313;787;457;334;409;95937;1491.23;95538.7;1086.92;2.91958450604619e-006
0;291;809;441;379;380;96437;1491.23;96271.2;966.176;1.2161092303755e-006
0;291;809;441;379;380;96937;1491.23;96271.2;966.176;4.880101316548351e-006
0;258;842;418;445;337;97437;1491.23;97350.8;792.958;6.331308705121936e-007
0;251;849;399;479;322;97937;1491.23;97833.9;694.108;7.569981613134997e-007
0;238;862;387;510;303;98437;1491.23;98323.6;619.241;8.330911007154518e-007
0;243;857;380;556;264;98937;1491.23;98911.3;551.581;1.90317898671767e-007
0;224;876;346;584;270;99437;1491.23;99367.8;501.909;5.095808628277884e-007
0;773;327;472;36;692;85937;1591.23;88575.6;2010.06;-0.1933651795585656
0;759;341;464;48;688;86437;1591.23;88817.3;1969.32;-0.1744331377413541
0;738;362;462;56;682;86937;1591.23;89056.7;1928.59;-0.1555773519367747
0;727;373;451;70;679;87437;1591.23;89302.6;1887.86;-0.1367937720330976
0;709;391;446;80;674;87937;1591.23;89546.4;1847.06;-0.1179764092231917
0;689;411;443;89;668;88437;1591.23;89791.8;1806.55;-0.0992957402625203
0;669;431;440;98;662;88937;1591.23;90037.2;1766.12;-0.08065085676274816
